                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9054,                 3.3461,                 1.9734,                0.00947,                0.79057,                0.13453,                0.03372,                 1.5954,                  3.492,                  1.883,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.6083,                 3.1088,                 1.6914,                0.01032,                0.86976,                0.22552,                0.08247,                 1.3249,                 3.2944,                 1.4965,             0.00014854,             0.00014854,             0.00014854
                      3,                 1.4699,                 2.3736,                 1.4649,                0.01081,                0.91545,                0.37086,                0.19958,                 1.2804,                 2.9604,                 1.3328,             0.00022876,             0.00022876,             0.00022876
                      4,                 1.3959,                 1.9184,                 1.4307,                0.91924,                0.08864,                0.45286,                0.24056,                 1.3062,                 2.7157,                 1.3974,             0.00030732,             0.00030732,             0.00030732
                      5,                 1.3887,                 1.6113,                 1.3801,                0.95033,                0.10142,                0.55423,                0.32427,                 1.2531,                 2.6672,                 1.3185,             0.00038424,             0.00038424,             0.00038424
                      6,                 1.4382,                 1.5813,                 1.4019,                 0.8958,                0.16352,                0.60269,                0.35585,                 1.2502,                 2.6107,                 1.2808,              0.0004595,              0.0004595,              0.0004595
                      7,                 1.3375,                 1.4271,                  1.326,                0.86765,                0.39493,                0.63195,                0.35961,                 1.4149,                   2.09,                  1.408,             0.00053311,             0.00053311,             0.00053311
                      8,                 1.3422,                 1.3373,                 1.3353,                0.68756,                0.41057,                0.58905,                0.33541,                 1.4042,                 2.0265,                 1.4113,             0.00060508,             0.00060508,             0.00060508
                      9,                 1.3069,                 1.3547,                 1.3145,                0.86949,                 0.5867,                0.73871,                0.44131,                 1.4025,                 1.9872,                 1.3887,             0.00067539,             0.00067539,             0.00067539
                     10,                  1.283,                 1.2659,                 1.2692,                 0.7516,                0.58211,                0.73156,                0.43425,                  1.433,                 1.8878,                 1.3756,             0.00074405,             0.00074405,             0.00074405
                     11,                  1.233,                 1.2213,                 1.2318,                0.70033,                0.62179,                0.70631,                0.38001,                 1.4682,                 1.7384,                 1.4051,             0.00081106,             0.00081106,             0.00081106
                     12,                   1.27,                 1.2029,                 1.2421,                 0.6913,                 0.6558,                0.71656,                 0.3772,                 1.4422,                 1.6495,                   1.42,             0.00087642,             0.00087642,             0.00087642
                     13,                 1.2229,                 1.1426,                 1.2609,                0.80787,                0.65902,                0.79846,                0.43027,                  1.402,                 1.6001,                 1.3787,             0.00094013,             0.00094013,             0.00094013
                     14,                 1.2557,                 1.1627,                 1.2606,                0.78839,                0.62735,                0.74047,                0.39775,                 1.5213,                 1.6722,                 1.4362,              0.0010022,              0.0010022,              0.0010022
                     15,                 1.2318,                 1.1444,                 1.2257,                0.76773,                0.60635,                0.74581,                0.45536,                 1.3684,                 1.7443,                 1.3339,              0.0010626,              0.0010626,              0.0010626
                     16,                 1.2214,                 1.1322,                 1.2134,                0.64355,                0.58126,                0.66239,                0.37084,                 1.4331,                  1.892,                 1.4015,              0.0011214,              0.0011214,              0.0011214
                     17,                 1.1781,                 1.0892,                 1.2256,                0.82238,                0.59925,                0.83141,                 0.4993,                 1.3922,                 1.6022,                 1.3999,              0.0011785,              0.0011785,              0.0011785
                     18,                 1.2585,                 1.1109,                 1.2669,                 0.6647,                0.73327,                0.79589,                0.49149,                 1.3591,                 1.5641,                 1.3505,              0.0012339,              0.0012339,              0.0012339
                     19,                 1.2416,                 1.1483,                 1.2526,                0.69402,                0.76251,                0.80253,                0.50991,                 1.2593,                  1.521,                 1.2784,              0.0012877,              0.0012877,              0.0012877
                     20,                 1.1826,                 1.0231,                 1.2318,                0.81388,                0.76181,                0.85277,                0.55693,                 1.2219,                 1.4451,                 1.2568,              0.0013399,              0.0013399,              0.0013399
                     21,                 1.2089,                 1.1276,                 1.2742,                0.83425,                0.77358,                0.85569,                0.53349,                  1.284,                 1.4078,                 1.2709,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1908,                 1.0636,                 1.2421,                0.82074,                0.80927,                0.87204,                0.52208,                 1.3335,                 1.3885,                 1.3309,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.2169,                 1.0165,                 1.2074,                0.80992,                0.72293,                0.82943,                0.49375,                 1.3579,                 1.3953,                  1.341,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.1715,                   1.05,                 1.2375,                0.77027,                0.78474,                0.87155,                0.56088,                 1.2348,                 1.3844,                  1.255,              0.0012874,              0.0012874,              0.0012874
                     25,                  1.149,                 1.0291,                 1.2059,                0.78623,                0.79339,                0.89248,                0.57252,                 1.2248,                 1.3458,                 1.2522,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.0884,                0.96873,                 1.1687,                0.81328,                0.84925,                0.90906,                0.58741,                 1.2109,                  1.249,                 1.2388,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1353,                 0.9677,                 1.1865,                 0.8267,                0.86163,                0.90056,                0.55933,                 1.1881,                 1.2034,                 1.2433,              0.0012379,              0.0012379,              0.0012379
                     28,                  1.069,                0.90433,                 1.1382,                0.86988,                0.80862,                0.87621,                0.56786,                  1.209,                 1.3268,                 1.2344,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1157,                0.96711,                 1.1551,                0.86526,                0.82163,                0.89048,                0.56243,                 1.2447,                 1.2426,                 1.2462,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1037,                0.92415,                 1.1946,                0.91558,                0.85861,                0.91284,                0.60344,                 1.1496,                 1.1506,                 1.1986,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.0574,                0.89041,                 1.1544,                0.90371,                0.85431,                0.92023,                0.63222,                 1.0643,                 1.1083,                 1.1502,              0.0011719,              0.0011719,              0.0011719
                     32,                   1.09,                0.89361,                 1.1449,                0.97558,                0.90739,                0.95832,                0.69457,                 1.0256,                0.92509,                 1.1045,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0613,                0.88407,                 1.1569,                0.95831,                0.92126,                0.96957,                0.69652,                 1.0016,                0.90758,                 1.0916,              0.0011389,              0.0011389,              0.0011389
                     34,                 0.9986,                0.84405,                 1.1167,                0.88515,                0.91837,                 0.9645,                0.69861,                0.98752,                0.98821,                 1.0927,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0298,                0.83482,                 1.1139,                0.86811,                0.88728,                0.94943,                0.65539,                  1.095,                  1.052,                   1.18,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0083,                0.85648,                 1.1184,                0.95859,                0.92217,                 0.9658,                0.71978,                0.95177,                0.87773,                 1.0905,              0.0010894,              0.0010894,              0.0010894
                     37,                0.98226,                0.80215,                 1.0912,                0.99263,                0.92806,                0.97287,                0.73092,                0.93841,                0.82922,                  1.087,              0.0010729,              0.0010729,              0.0010729
                     38,                0.96714,                0.81435,                 1.0887,                0.97897,                0.94774,                0.97493,                0.71083,                0.98544,                 0.8211,                 1.1059,              0.0010564,              0.0010564,              0.0010564
                     39,                0.99068,                0.82068,                 1.1073,                   0.97,                0.96427,                0.97884,                0.71904,                0.98057,                0.81988,                 1.1089,              0.0010399,              0.0010399,              0.0010399
                     40,                0.96929,                0.75125,                 1.0774,                0.99309,                0.93805,                0.98014,                0.73917,                0.90411,                0.79407,                 1.0534,              0.0010234,              0.0010234,              0.0010234
                     41,                0.95436,                0.80676,                 1.0942,                0.98415,                0.93634,                0.98781,                0.71677,                0.99683,                0.81244,                 1.1038,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.9938,                  0.802,                 1.1072,                0.95152,                0.95933,                0.98968,                 0.7218,                0.94298,                0.78897,                 1.0797,             0.00099036,             0.00099036,             0.00099036
                     43,                0.98144,                 0.8132,                 1.1072,                0.97401,                0.95872,                0.98767,                0.73735,                 0.8902,                0.76593,                 1.0451,             0.00097386,             0.00097386,             0.00097386
                     44,                0.98065,                0.78047,                 1.0863,                 0.9681,                0.97024,                0.98908,                0.75358,                0.87789,                0.75345,                 1.0289,             0.00095736,             0.00095736,             0.00095736
                     45,                0.92341,                0.75431,                 1.1017,                0.97616,                  0.969,                0.98765,                0.72733,                0.93838,                0.76878,                 1.0546,             0.00094085,             0.00094085,             0.00094085
                     46,                0.93497,                0.77339,                  1.099,                0.97935,                0.97203,                0.99016,                0.74219,                0.91137,                0.74536,                 1.0417,             0.00092435,             0.00092435,             0.00092435
                     47,                0.90046,                 0.7412,                 1.0761,                0.98097,                0.97694,                 0.9939,                0.77124,                0.85556,                0.71742,                 1.0243,             0.00090785,             0.00090785,             0.00090785
                     48,                0.88377,                0.70563,                 1.0689,                0.93796,                0.98394,                0.99129,                0.76734,                0.82248,                0.71831,                 1.0263,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.9119,                0.75568,                 1.0777,                0.95885,                0.98262,                0.99234,                0.77682,                0.81747,                0.70387,                 1.0228,             0.00087484,             0.00087484,             0.00087484
                     50,                0.86708,                0.71287,                 1.0568,                0.98557,                0.96564,                0.99252,                0.78374,                0.83733,                0.70105,                 1.0281,             0.00085834,             0.00085834,             0.00085834
                     51,                0.84332,                0.67084,                 1.0346,                0.97004,                0.96654,                0.99165,                 0.7792,                0.84349,                 0.6951,                 1.0311,             0.00084184,             0.00084184,             0.00084184
                     52,                0.85133,                 0.6661,                 1.0267,                0.97704,                 0.9822,                0.99212,                0.80516,                0.73029,                0.65394,                0.96733,             0.00082533,             0.00082533,             0.00082533
                     53,                 0.8626,                0.67533,                 1.0427,                0.97794,                0.98833,                0.99299,                0.79147,                0.75313,                 0.6446,                0.97158,             0.00080883,             0.00080883,             0.00080883
                     54,                0.85711,                0.68349,                 1.0274,                0.98203,                0.98882,                0.99336,                 0.7889,                0.73573,                0.61848,                0.96411,             0.00079233,             0.00079233,             0.00079233
                     55,                0.82263,                0.64578,                0.99149,                0.97045,                0.98993,                0.99383,                0.80641,                0.69987,                0.60786,                  0.952,             0.00077582,             0.00077582,             0.00077582
                     56,                 0.8665,                0.70247,                 1.0473,                0.97132,                0.98234,                 0.9927,                 0.8029,                0.72459,                0.64583,                0.96135,             0.00075932,             0.00075932,             0.00075932
                     57,                0.86358,                0.68226,                 1.0188,                0.97941,                0.97418,                0.99333,                0.80271,                0.74128,                0.63693,                0.96447,             0.00074282,             0.00074282,             0.00074282
                     58,                0.79925,                0.67145,                 1.0306,                0.96396,                0.99125,                0.99316,                 0.8138,                0.71014,                0.61252,                0.95601,             0.00072631,             0.00072631,             0.00072631
                     59,                0.86869,                0.66655,                 1.0256,                0.98532,                0.97912,                0.99415,                0.81571,                0.68686,                0.59461,                0.94852,             0.00070981,             0.00070981,             0.00070981
                     60,                0.79808,                 0.6168,                0.97261,                0.98046,                0.99377,                0.99438,                0.81668,                0.71107,                 0.5972,                0.95152,             0.00069331,             0.00069331,             0.00069331
                     61,                0.77297,                0.61879,                0.99839,                0.98845,                0.99333,                0.99343,                0.81956,                0.67607,                0.59631,                0.93787,              0.0006768,              0.0006768,              0.0006768
                     62,                 0.8151,                0.66669,                 1.0189,                0.99349,                0.98179,                0.99439,                0.81759,                 0.6985,                 0.5933,                0.94141,              0.0006603,              0.0006603,              0.0006603
                     63,                0.80907,                0.63133,                0.99985,                0.98674,                0.98423,                0.99407,                0.81115,                0.71657,                0.58616,                0.94414,              0.0006438,              0.0006438,              0.0006438
                     64,                0.79015,                0.64194,                 1.0096,                0.98256,                0.98592,                0.99411,                0.83619,                0.63884,                0.56452,                0.91167,             0.00062729,             0.00062729,             0.00062729
                     65,                0.77825,                0.62738,                0.98051,                 0.9756,                0.98127,                 0.9938,                0.83541,                0.63937,                0.57122,                0.91247,             0.00061079,             0.00061079,             0.00061079
                     66,                0.76863,                0.62168,                0.98414,                0.97882,                0.97691,                0.99361,                0.82342,                0.68009,                0.58439,                0.92868,             0.00059429,             0.00059429,             0.00059429
                     67,                0.73802,                0.59549,                0.97671,                0.99011,                0.98179,                  0.994,                0.82816,                 0.6659,                  0.583,                0.92527,             0.00057778,             0.00057778,             0.00057778
                     68,                0.74996,                 0.6084,                0.98825,                 0.9915,                0.99089,                0.99421,                0.83389,                0.62317,                0.54677,                0.90986,             0.00056128,             0.00056128,             0.00056128
                     69,                0.74748,                0.58466,                0.98235,                0.99019,                0.98895,                 0.9945,                0.84089,                0.61577,                0.53992,                0.90969,             0.00054478,             0.00054478,             0.00054478
                     70,                0.73034,                0.59326,                0.98442,                0.98983,                0.99089,                0.99448,                0.84828,                0.59681,                0.53519,                 0.9045,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.7463,                0.59111,                0.98449,                0.99278,                0.99085,                0.99424,                0.84891,                0.60035,                0.53964,                0.90462,             0.00051177,             0.00051177,             0.00051177
                     72,                0.72668,                0.60113,                 1.0054,                0.99613,                0.98967,                0.99424,                0.86521,                0.55578,                0.52541,                0.88769,             0.00049527,             0.00049527,             0.00049527
                     73,                0.71404,                0.56886,                0.96347,                0.98902,                0.99089,                 0.9942,                0.86383,                0.54623,                0.51889,                0.88405,             0.00047876,             0.00047876,             0.00047876
                     74,                0.70222,                0.59366,                0.97641,                0.98841,                0.99068,                0.99461,                0.86434,                0.54387,                0.50788,                0.88135,             0.00046226,             0.00046226,             0.00046226
                     75,                0.72454,                0.59232,                0.97384,                0.98251,                0.99665,                0.99482,                0.86696,                 0.5402,                 0.4981,                0.87875,             0.00044576,             0.00044576,             0.00044576
                     76,                0.67121,                0.54473,                0.95477,                0.98786,                0.99795,                0.99481,                0.86678,                0.52958,                 0.4894,                0.87356,             0.00042925,             0.00042925,             0.00042925
                     77,                0.65706,                0.54866,                0.94477,                0.99607,                0.99553,                 0.9948,                0.87142,                0.52043,                0.48516,                0.87185,             0.00041275,             0.00041275,             0.00041275
                     78,                0.64673,                0.57741,                0.97184,                0.99574,                0.99756,                0.99478,                0.86636,                0.52828,                0.48696,                0.87437,             0.00039625,             0.00039625,             0.00039625
                     79,                0.66609,                0.54223,                0.95039,                 0.9959,                0.99453,                 0.9948,                0.87032,                0.53833,                0.48949,                0.87835,             0.00037974,             0.00037974,             0.00037974
                     80,                 0.7318,                0.57874,                0.97184,                0.98809,                0.99512,                0.99485,                0.87598,                0.52382,                0.48995,                0.87561,             0.00036324,             0.00036324,             0.00036324
                     81,                0.64918,                0.51801,                0.93287,                0.99006,                0.99139,                0.99485,                0.87309,                0.52638,                0.49012,                 0.8764,             0.00034674,             0.00034674,             0.00034674
                     82,                0.68535,                0.56336,                0.98391,                0.99388,                0.99679,                 0.9949,                0.87161,                0.52744,                0.47932,                0.87603,             0.00033023,             0.00033023,             0.00033023
                     83,                0.63828,                  0.529,                 0.9522,                0.99346,                0.99909,                0.99495,                0.87772,                0.51075,                0.46547,                0.86864,             0.00031373,             0.00031373,             0.00031373
                     84,                0.62412,                0.52052,                0.93584,                0.99387,                0.99891,                0.99495,                0.89278,                0.49349,                0.45002,                0.85872,             0.00029723,             0.00029723,             0.00029723
                     85,                0.62508,                0.51094,                0.94478,                0.98984,                      1,                0.99498,                0.89528,                0.48988,                0.44541,                0.85723,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.6323,                0.50916,                 0.9376,                0.98979,                      1,                0.99498,                0.89245,                0.48931,                0.44282,                0.85648,             0.00026422,             0.00026422,             0.00026422
                     87,                0.61433,                0.52446,                0.94444,                 0.9907,                0.99904,                0.99498,                0.88922,                0.48544,                0.44071,                0.85454,             0.00024772,             0.00024772,             0.00024772
                     88,                0.62508,                0.53162,                0.95176,                0.99576,                0.99903,                0.99498,                0.89078,                0.46798,                0.43966,                 0.8481,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.6317,                0.50292,                0.94135,                0.99638,                      1,                0.99498,                0.90178,                0.45586,                0.43822,                0.84441,             0.00021471,             0.00021471,             0.00021471
                     90,                0.61282,                0.52102,                0.95035,                0.99639,                      1,                0.99498,                0.90358,                0.44748,                0.43612,                0.84202,             0.00019821,             0.00019821,             0.00019821
                     91,                0.62321,                 0.6258,                0.94256,                0.99626,                      1,                0.99498,                0.90781,                0.44526,                0.43522,                0.84204,              0.0001817,              0.0001817,              0.0001817
                     92,                0.62573,                0.58171,                0.92666,                0.99955,                0.99735,                  0.995,                0.90076,                0.46496,                0.44322,                 0.8466,              0.0001652,              0.0001652,              0.0001652
                     93,                0.58477,                0.54928,                0.90136,                 0.9961,                0.99756,                  0.995,                0.89245,                0.47879,                0.44993,                0.84942,              0.0001487,              0.0001487,              0.0001487
                     94,                0.55349,                0.51625,                0.88366,                0.99676,                 0.9958,                  0.995,                0.89127,                0.48189,                0.45518,                0.84959,             0.00013219,             0.00013219,             0.00013219
                     95,                0.56204,                0.52506,                0.90061,                0.99691,                0.99512,                  0.995,                0.89355,                0.47875,                0.45816,                0.84826,             0.00011569,             0.00011569,             0.00011569
                     96,                0.53503,                0.52685,                0.89015,                0.99792,                0.99512,                  0.995,                  0.896,                0.46579,                  0.457,                0.84328,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.5298,                0.49741,                0.87199,                0.99789,                0.99512,                  0.995,                0.89705,                0.46383,                0.45511,                0.84233,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.53959,                0.48232,                0.87977,                0.99798,                0.99512,                  0.995,                0.89736,                0.46162,                0.45208,                0.84146,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.53275,                0.49957,                0.89624,                0.99786,                0.99512,                  0.995,                0.89544,                0.45871,                0.44895,                0.84025,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.5238,                0.48818,                 0.8718,                0.99801,                0.99512,                  0.995,                0.89779,                0.45146,                0.44271,                 0.8379,             3.3173e-05,             3.3173e-05,             3.3173e-05
